order_id,product_id,add_to_cart_order,reordered
7099,6799,1,0
7099,8580,2,0
7099,31231,3,0
7099,1185,4,0
7099,44051,5,0
7099,11123,6,0
7099,33787,7,1
7099,33754,8,1
7099,46676,9,1
7099,22124,10,1
7099,14233,11,1
7099,5708,12,0
7099,30908,13,1
8382,3873,1,0
8382,28199,2,0
8382,42372,3,0
8382,23106,4,0
8382,33819,5,0
8382,3108,6,0
8382,42959,7,0
8382,7883,8,0
8382,3919,9,0
14400,30415,1,0
14400,1654,2,0
14400,11079,3,1
19190,79,1,1
19190,30511,2,0
19190,13187,3,0
19190,23148,4,0
19190,35607,5,0
19190,46650,6,0
19256,27086,1,1
19256,27435,2,1
19256,41480,3,0
19256,31372,4,0
19256,33735,5,1
23391,13198,1,1
23391,42803,2,1
23391,8277,3,1
23391,37602,4,1
23391,40852,5,1
23391,4920,6,1
23391,4945,7,1
23391,17638,8,1
23391,11520,9,0
23391,32177,10,1
23391,27344,11,0
31801,6934,1,1
31801,42987,2,1
31801,24852,3,1
31801,14814,4,1
31801,2481,5,1
31801,35921,6,1
31801,41844,7,0
31801,45064,8,0
31801,31459,9,1
31801,25670,10,0
33681,5473,1,0
48293,23622,1,0
48293,24852,2,0
48293,35108,3,0
48293,45646,4,1
48293,42828,5,1
51418,49383,1,1
51418,11913,2,1
51418,47766,3,1
51418,24852,4,1
51418,38231,5,0
51418,6638,6,1
51418,16521,7,0
62373,31387,1,0
62373,41131,2,0
62373,12129,3,0
62373,18523,4,0
62373,33754,5,0
62373,37646,6,1
62373,43645,7,1
62373,14708,8,0
62373,46842,9,1
62373,17038,10,0
62373,30425,11,1
62373,24186,12,1
62373,44375,13,0
62373,48988,14,1
65724,1194,1,1
65724,24852,2,1
68288,46979,1,1
68288,47380,2,0
68288,20995,3,0
68288,43014,4,0
68288,15011,5,0
68288,27156,6,0
68288,13512,7,0
68288,40604,8,0
68288,13198,9,0
68288,9339,10,0
68288,5646,11,0
68288,28986,12,0
68288,27104,13,1
68288,41220,14,0
68288,22825,15,0
68288,34358,16,0
68288,44910,17,0
68288,15290,18,0
68288,14992,19,0
68288,36695,20,0
68288,47042,21,0
68288,23165,22,0
68288,15937,23,0
68288,25931,24,0
68288,5818,25,0
68288,1529,26,0
68288,32537,27,0
68288,11782,28,0
68288,30489,29,0
68288,36735,30,0
68288,18441,31,0
68288,15392,32,0
68288,7632,33,0
68288,32299,34,0
68288,48204,35,0
68288,28535,36,0
68288,34128,37,0
68288,8988,38,0
68288,13212,39,0
68288,7746,40,0
68288,35973,41,0
68288,35725,42,0
68288,45664,43,0
68288,16857,44,0
68288,31506,45,0
68288,47526,46,0
72626,21927,1,1
72626,4793,2,1
72626,9637,3,1
72626,24852,4,1
72626,9203,5,1
72626,46979,6,1
72626,45774,7,0
72626,33754,8,0
72626,18370,9,0
72626,21137,10,0
72626,8239,11,0
72626,13629,12,1
72626,11130,13,1
72626,49215,14,1
72626,22963,15,0
72626,2452,16,1
72626,4962,17,0
72626,17630,18,0
72626,37718,19,0
75972,47626,1,1
75972,46979,2,1
75972,19048,3,1
77399,32599,1,1
77399,23148,2,1
77399,35607,3,1
77399,22372,4,0
77399,13708,5,0
77399,34202,6,0
77399,31829,7,0
77449,45007,1,1
77449,5322,2,0
77449,20670,3,0
77449,49131,4,0
77449,30839,5,1
77449,7559,6,1
77449,9339,7,1
77449,47209,8,1
77449,13176,9,1
77449,1463,10,1
77449,47672,11,1
77449,42445,12,1
77449,6348,13,1
77449,8277,14,1
77449,33100,15,1
77449,33636,16,1
77449,35383,17,1
77449,28380,18,1
77791,21508,1,0
77791,16965,2,0
77791,8668,3,0
77791,18793,4,0
77791,49326,5,0
77791,43352,6,0
77791,9076,7,0
77791,21137,8,0
77791,11662,9,0
77791,27044,10,0
77791,27086,11,1
77791,48205,12,0
77791,47766,13,1
77791,28204,14,1
77791,2434,15,0
77791,24852,16,1
77791,31387,17,1
79015,37987,1,0
79015,6873,2,0
79015,41055,3,0
79015,27344,4,0
79015,15503,5,0
79015,24964,6,0
79015,22713,7,0
79015,34969,8,0
79015,37524,9,0
79015,26165,10,0
83395,30489,1,1
83395,47591,2,0
83395,24184,3,0
83395,260,4,0
83395,9339,5,1
83395,38293,6,0
83395,17828,7,0
83395,9871,8,0
83395,46979,9,1
83395,28535,10,1
83395,47526,11,1
83395,19019,12,0
83395,23879,13,0
83395,40604,14,1
83395,22035,15,0
83395,36865,16,0
83395,31506,17,1
83395,13829,18,0
83395,23541,19,0
83395,28842,20,1
83395,42625,21,0
83395,1529,22,1
83395,20920,23,0
83395,42647,24,0
83395,25931,25,1
83395,20632,26,0
83395,40706,27,1
83395,47042,28,1
83395,16797,29,1
83395,16185,30,0
86313,17948,1,0
86313,47500,2,0
86313,46969,3,0
86313,17794,4,0
86313,45200,5,1
86313,28278,6,0
86313,1158,7,0
86313,32299,8,0
86918,42913,1,0
86918,34690,2,1
86918,25170,3,0
86918,47805,4,0
86918,41483,5,0
86918,40974,6,0
86918,28805,7,0
86918,48437,8,0
86918,4817,9,0
86918,17008,10,1
86918,14905,11,0
86918,14147,12,0
86918,15599,13,1
86918,31487,14,1
86918,22608,15,0
86918,9387,16,0
86918,9076,17,0
86918,16855,18,0
86918,22999,19,0
86918,35042,20,0
86918,31087,21,0
94891,22199,1,0
94891,25146,2,0
97480,8277,1,1
97480,7559,2,1
97480,47209,3,1
97480,42445,4,1
97480,1463,5,1
97480,13176,6,1
97480,49235,7,1
97480,33100,8,1
97480,18288,9,1
97480,27104,10,1
97480,47672,11,1
100777,49424,1,1
100777,47626,2,1
100777,39180,3,1
100777,8021,4,1
100777,23543,5,1
100777,16752,6,0
100777,33290,7,1
100777,24852,8,1
103726,13176,1,1
103726,6182,2,1
103726,39877,3,1
103726,22825,4,1
103726,34409,5,1
103726,31720,6,1
103726,42701,7,1
103726,28476,8,1
103726,21903,9,1
107377,9339,1,1
107377,47672,2,1
107377,1463,3,1
107377,21137,4,1
107377,6348,5,1
107377,24489,6,1
107377,49235,7,1
107377,22935,8,1
107377,24184,9,0
107377,42294,10,0
107377,14717,11,0
107377,27730,12,0
107377,2309,13,0
107377,44303,14,0
107377,6719,15,1
107377,12935,16,0
107377,36082,17,0
107377,2228,18,0
113728,37710,1,1
113728,10441,2,1
113728,12427,3,1
113728,1747,4,1
113728,27839,5,1
118133,31222,1,1
118133,23423,2,1
118133,16393,3,0
121053,10895,1,0
121053,14267,2,0
121053,39121,3,0
121053,42828,4,0
121053,45066,5,1
121053,37999,6,1
121053,45628,7,1
121053,37602,8,1
121053,29871,9,1
121053,22963,10,1
121053,19019,11,1
121053,6361,12,1
121053,31683,13,1
121053,519,14,1
121053,49508,15,1
121053,17638,16,1
121053,40852,17,1
121053,27690,18,1
121053,9598,19,1
121053,15581,20,1
121053,45537,21,1
121053,13198,22,1
121053,43967,23,1
121053,30391,24,1
127769,28204,1,1
127769,24852,2,1
127769,5450,3,1
127769,8424,4,1
127769,17794,5,1
127769,30450,6,0
127769,21295,7,0
127769,19478,8,0
127769,32653,9,1
127769,12857,10,1
127769,7371,11,1
127769,1870,12,0
127769,48679,13,1
127769,28849,14,0
127769,30962,15,1
127769,9076,16,1
127769,33731,17,0
127769,43647,18,0
129025,3765,1,0
129025,1194,2,1
129152,46842,1,1
129152,43645,2,1
129152,30618,3,0
129152,48988,4,1
131991,19678,1,1
131991,7014,2,1
131991,6182,3,1
131991,47209,4,1
131991,47018,5,1
134879,42342,1,0
134879,23765,2,0
134879,39812,3,0
134879,46979,4,0
134879,39037,5,0
134879,40706,6,0
134879,39732,7,0
134879,2452,8,0
134879,7781,9,0
134879,4605,10,0
134879,24852,11,0
134879,47089,12,0
134879,32433,13,0
134879,45364,14,0
134879,39911,15,0
135696,44632,1,1
135696,30592,2,1
135696,10339,3,1
135696,14947,4,1
135696,31615,5,1
135696,23377,6,0
137318,38300,1,0
139882,33219,1,1
139882,7628,2,1
139882,25544,3,0
139882,14144,4,1
139882,11408,5,0
139882,2512,6,0
139882,10350,7,1
142873,24852,1,1
142873,40174,2,1
142873,26165,3,1
142873,30290,4,1
142873,8021,5,0
142873,3793,6,0
142873,11005,7,0
142873,24156,8,0
142873,26209,9,0
142873,24964,10,1
142873,15937,11,0
142873,46667,12,1
142873,48104,13,0
142873,21903,14,0
142873,46906,15,0
144358,27845,1,1
144358,21903,2,0
144358,24964,3,0
144358,22963,4,0
144358,36724,5,0
144358,16987,6,0
157374,27344,1,0
157374,24535,2,1
157374,43693,3,1
157374,40706,4,1
157374,16168,5,0
157374,21413,6,1
157374,13988,7,1
157374,3376,8,0
157374,8518,9,1
157374,26604,10,1
157374,11777,11,1
157374,5999,12,0
157550,6184,1,0
157550,13575,2,1
157550,9387,3,1
157550,22362,4,0
159678,38231,1,1
159678,1359,2,1
164627,11265,1,0
164627,13909,2,0
164627,22395,3,0
164627,5488,4,0
164627,22935,5,0
173172,31222,1,1
180919,6184,1,1
180919,10441,2,1
180919,46149,3,1
180919,196,4,1
180919,38928,5,1
180919,41400,6,1
180919,17231,7,1
180919,41787,8,1
180919,39408,9,0
180919,45920,10,0
181977,23044,1,1
181977,33731,2,1
181977,20588,3,0
181977,5077,4,0
181977,8615,5,0
182020,47209,1,1
182020,6182,2,1
182020,23165,3,1
182020,39877,4,1
182020,22825,5,1
182020,5612,6,1
182020,41950,7,1
182020,13176,8,1
182020,10831,9,1
182020,27104,10,1
182020,7014,11,1
182125,22328,1,1
194741,24964,1,1
194741,32096,2,1
194741,22935,3,1
194741,14966,4,1
196008,7249,1,1
196008,21903,2,0
218647,46069,1,1
218647,5612,2,1
218647,6341,3,1
218647,41950,4,1
218647,47018,5,1
221248,13176,1,1
221248,14992,2,1
221248,44422,3,0
221248,11520,4,0
221248,31506,5,0
221248,22959,6,0
221248,7120,7,0
221248,37687,8,0
221248,19006,9,0
221248,39667,10,0
221248,17794,11,0
221248,28134,12,1
221248,10863,13,1
221248,7076,14,1
221248,30489,15,0
221248,49683,16,0
221248,24390,17,0
221248,47509,18,0
221248,34243,19,0
221248,48364,20,0
221248,16185,21,0
221248,248,22,0
225381,30908,1,0
225381,44548,2,0
225381,18288,3,0
225381,24476,4,0
225381,23645,5,0
225381,2966,6,1
225381,13176,7,1
226861,1463,1,1
226861,30233,2,1
226861,47209,3,1
226861,21137,4,1
226861,33100,5,1
226861,43086,6,1
226861,25005,7,0
226861,38650,8,0
226861,24009,9,1
226861,24489,10,1
226861,17948,11,0
226861,49235,12,1
226861,16349,13,1
226861,6348,14,1
226861,46075,15,1
227361,12583,1,0
227361,17757,2,0
227361,12193,3,0
227361,32465,4,0
227361,32864,5,1
227361,25207,6,0
227361,9000,7,0
227361,39794,8,0
227361,4541,9,0
227361,22176,10,0
227361,47682,11,0
227361,47626,12,0
227361,2813,13,0
227361,12614,14,0
230851,1194,1,1
230851,35958,2,1
230851,20118,3,0
230851,33705,4,0
230851,5322,5,0
230851,17224,6,0
230851,38656,7,0
230851,6069,8,0
230851,5907,9,0
230851,457,10,0
230851,48210,11,0
230851,4455,12,1
232622,35607,1,1
232622,23148,2,1
232622,30511,3,1
232622,22559,4,1
232622,30307,5,1
232622,23405,6,0
232622,41973,7,0
232622,7557,8,1
232622,26312,9,0
232622,28199,10,0
232622,79,11,1
232622,11865,12,1
232622,18337,13,0
232622,37055,14,0
232622,48535,15,0
232622,24382,16,0
232622,21925,17,0
232622,43693,18,1
232622,7622,19,0
232622,22819,20,0
232622,4516,21,0
232622,41591,22,0
232622,36315,23,0
232622,49518,24,0
232622,13176,25,0
232622,31406,26,0
232622,12381,27,0
232622,45221,28,0
232721,19894,1,1
232721,18531,2,1
232721,17859,3,0
232721,31130,4,0
232721,9422,5,0
232721,22849,6,0
232721,46559,7,0
232721,41596,8,0
232721,25535,9,0
232721,4091,10,0
240889,12145,1,1
240889,11079,2,1
240889,22217,3,1
240889,21521,4,1
240889,44632,5,1
244623,42987,1,1
244623,45009,2,1
244623,13733,3,1
244623,24852,4,1
244623,38775,5,1
252244,12099,1,0
252244,28985,2,0
252244,27966,3,0
252244,1987,4,0
252244,45104,5,0
252244,19678,6,0
252244,40604,7,0
252244,17025,8,0
252244,6218,9,0
252244,29180,10,0
252244,6348,11,0
258751,26452,1,0
258751,1216,2,0
258751,37119,3,0
258751,45819,4,0
258751,10096,5,0
258751,22008,6,1
264488,14233,1,1
264488,33754,2,1
264488,4957,3,1
264488,46676,4,1
264488,18523,5,1
264488,22124,6,1
264488,33787,7,1
264488,40571,8,1
264488,45446,9,1
264488,32263,10,1
264488,39275,11,1
264488,27966,12,1
264488,21137,13,0
264488,35951,14,1
264488,2966,15,1
264488,13176,16,1
264488,38777,17,1
264488,248,18,0
278124,23054,1,0
278124,30599,2,0
278124,11079,3,1
278124,23801,4,0
278124,16759,5,0
278626,24098,1,1
278626,39275,2,1
278626,12381,3,1
278626,9290,4,1
278626,18439,5,1
278626,8866,6,1
278626,30353,7,1
278626,33394,8,1
279523,36135,1,1
279523,3672,2,0
279523,35510,3,1
279523,33731,4,1
279523,37220,5,0
279523,25659,6,1
279523,21903,7,1
280530,27973,1,0
280530,481,2,0
280530,27966,3,0
280530,33754,4,0
280530,4957,5,0
280530,13351,6,0
280530,40571,7,0
280530,38159,8,0
280530,38277,9,0
280530,5194,10,0
280530,5002,11,0
280530,13740,12,0
280530,26790,13,0
280530,6489,14,0
280530,16154,15,0
280530,27690,16,0
280530,45045,17,0
280530,19627,18,0
280530,43875,19,0
280530,45767,20,0
280530,47167,21,0
280530,16018,22,0
280530,8952,23,0
280530,7952,24,0
280530,311,25,0
280530,21108,26,0
280530,11790,27,0
280530,23592,28,0
280530,42828,29,0
280530,31066,30,0
291527,28058,1,1
291527,22035,2,1
291527,4269,3,0
291527,26351,4,1
291527,4983,5,0
298250,38293,1,1
298250,20323,2,0
298250,40992,3,0
298250,21903,4,1
298250,45007,5,0
298250,11068,6,0
298250,10644,7,0
300892,17924,1,0
309687,31720,1,1
309687,39877,2,1
309687,23165,3,1
309687,19678,4,1
309687,16249,5,1
309687,10831,6,1
309687,6341,7,1
309687,7014,8,1
309687,26800,9,1
309687,21137,10,1
309687,46667,11,1
311292,44142,1,1
311292,34356,2,0
311292,7021,3,1
311292,14462,4,0
311292,22935,5,0
311292,26165,6,1
311292,35221,7,0
326173,23005,1,1
326173,14144,2,0
326173,29,3,1
326173,28299,4,1
326173,38230,5,0
326173,22395,6,1
326173,37107,7,0
326173,14197,8,0
327827,25931,1,0
327827,24852,2,0
327827,8518,3,0
327827,13932,4,0
327827,651,5,0
327827,45007,6,0
327827,19048,7,0
327827,45200,8,0
327827,9839,9,0
327827,19057,10,0
327827,40298,11,0
327827,38693,12,0
338996,2966,1,1
338996,24721,2,1
338996,44669,3,0
342306,12341,1,1
342306,6184,2,1
342306,10441,3,1
342306,46149,4,1
342306,196,5,1
343199,7350,1,1
343199,18534,2,1
343199,17762,3,1
343199,48544,4,1
343199,4591,5,0
343199,36463,6,1
348137,7350,1,1
348137,18534,2,1
348137,7026,3,1
